_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
53098,0023M00321000000,904 MIDDLE ST,,2014-03-04,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-79.99955406601289,40.455648829418415
53099,0052A00041000000,4707 WALLINGFORD ST,2014,2012-10-09,ACT42 RESIDENTIAL,3,86750,Shadyside,8,7,2,Eastern,Frick,4,2-9,-79.94888881291072,40.45176461140904
53100,0051H00122000000,420 ROUP AVE,,2012-10-01,LOCAL ECONOMIC STIMULUS,10,250000,Friendship,7,8,2,Central,Highland,5,3-23,-79.93527571131997,40.458553745206885
53101,0051H00130000000,5607 BAUM BLVD,,2012-10-01,LOCAL ECONOMIC STIMULUS,10,250000,Friendship,7,8,2,Central,Highland,5,3-23,-79.93540539378166,40.458164428455134
53102,0051H00146000000,5631 BAUM BLVD,2015,2012-10-01,LOCAL ECONOMIC STIMULUS,10,250000,Friendship,7,8,2,Central,Highland,5,3-23,-79.93503294077699,40.45831282239065
53103,0010L00140000000,WYLIE AVE,,2010-01-27,ACT42 RESIDENTIAL,3,86750,Middle Hill,6,5,3,Central,Schenley,2,2-5,-79.97375864478121,40.44742585568587
53104,0088H00188000000,OVERTON LN,,2010-01-27,ACT42 RESIDENTIAL,3,86750,Squirrel Hill South,5,14,3,Eastern,Frick,4,2-20,-79.91749311534373,40.418997642368495
53105,0080G00077000000,4903 BUTLER ST,,2010-01-26,COMMERCIAL LERTA,5,50000,Central Lawrenceville,7,9,2,Central,Highland,2,3-5,-79.95703681837279,40.47731603547427
53106,0080G00078000000,4907 BUTLER ST,,2010-01-25,COMMERCIAL LERTA,5,50000,Central Lawrenceville,7,9,2,Central,Highland,2,3-5,-79.95705865987443,40.477444201693935
53107,0080D00011000000,5262 BUTLER ST,2010,2010-01-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95273536352028,40.48179614020216
53108,0013L00224000000,2406 ARLINGTON AVE,,2010-01-28,ACT42 ENHANCED RESIDENTIAL,10,250000,Arlington,3,16,4,Southern,Schenley,3,4-8,-79.97264620561593,40.417205769364955
53109,0023M00220000000,916 CEDAR AVE,2013,2010-01-04,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.00206702032796,40.4554949347358
53110,0048S00212000000,3403 BUTLER ST,2013,2011-03-16,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96740765374071,40.4629034224272
53111,0003M00136000000,154 S 15TH ST,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98382826847951,40.42656238479295
53112,0003M00136000100,154 S 15TH ST UNIT 101,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98381058387366,40.4264865826735
53113,0003M00136000200,152 S 15TH ST,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98380949172542,40.426531621104566
53114,0003M00136000300,150 S 15TH ST,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98380833407627,40.426576723043965
53115,0003M00136000400,148 S 15TH ST,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.9838072248587,40.42662222048947
53116,0003M00136000500,146 S 15TH ST,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98386433623159,40.42662349946401
53117,0003M00136000600,144 S 15TH ST,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98386560716851,40.42657804769917
53118,0003M00136000800,154 S 15TH ST UNIT 202,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98386816085251,40.42648804446575
53119,0003M00136000900,154 S 15TH ST UNIT 204,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.9839251417476,40.42648945527817
53120,0003M00136001000,154 S 15TH ST UNIT 206,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98392391607305,40.4265343287537
53121,0003M00136001100,154 S 15TH ST UNIT 208,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.9839226636263,40.42657943142764
53122,0003M00136001200,154 S 15TH ST UNIT 210,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98397909067779,40.426580886972566
53123,0003M00136001300,154 S 15TH ST UNIT 212,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98398052370109,40.42653563881187
53124,0003M00136001400,154 S 15TH ST UNIT 214,,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98398192057785,40.42649084912191
53125,0003M00136000700,154 S 15TH ST UNIT 216,2023,2024-07-17,CHAPTER 265 ENHANCED,10,250000,South Side Flats,3,17,4,Southern,McKinley,3,4-24,-79.98386691657778,40.42653299705339
53126,0022B00283000000,1262 KUNKLE AVE,2023,2021-12-16,CHAPTER 265 ENHANCED,10,250000,California-Kirkbride,6,21,1,Northern,Northern,1,1-9,-80.02542095404417,40.46019687010895
53127,0022B00285000000,1252 KUNKLE AVE,2023,2021-12-16,CHAPTER 265 ENHANCED,10,250000,California-Kirkbride,6,21,1,Northern,Northern,1,1-9,-80.0252811062827,40.46022149281072
53128,0022B00286000000,1246 KUNKLE AVE,2023,2021-12-16,CHAPTER 265 ENHANCED,10,250000,California-Kirkbride,6,21,1,Northern,Northern,1,1-9,-80.02514243446899,40.460245989630565
53129,0022B00289000000,1236 KUNKLE AVE,2023,2021-12-16,CHAPTER 265 ENHANCED,10,250000,California-Kirkbride,6,21,1,Northern,Northern,1,1-9,-80.02499678102653,40.46027218056552
53130,0022F00004000000,1241 KUNKLE AVE,2023,2021-12-16,CHAPTER 265 ENHANCED,10,250000,California-Kirkbride,6,21,1,Northern,Northern,1,1-9,-80.02448213458784,40.45980751439741
53131,0022B00290000000,1232 KUNKLE AVE,2023,2021-12-14,CHAPTER 265 ENHANCED,10,250000,California-Kirkbride,6,21,1,Northern,Northern,1,1-9,-80.02483775935761,40.460300729218325
53132,0023E00388000000,508 W JEFFERSON ST,2023,2021-12-08,CHAPTER 265 ENHANCED,10,250000,Central Northside,6,25,1,Northern,Northern,1,1-21,-80.01321191618125,40.45930420178264
53133,0023E00390000000,506 W JEFFERSON ST,2023,2021-12-08,CHAPTER 265 ENHANCED,10,250000,Central Northside,6,25,1,Northern,Northern,1,1-21,-80.01311187471218,40.4593885844427
53134,0023F00083000000,128 E JEFFERSON ST,2023,2021-12-08,CHAPTER 265 BASE,3,175000,Central Northside,6,25,1,Northern,Northern,1,1-21,-80.00949573810689,40.45949467461754
53135,0023F00084000000,132 E JEFFERSON ST,2023,2021-12-08,CHAPTER 265 BASE,3,175000,Central Northside,6,25,1,Northern,Northern,1,1-21,-80.00962165495723,40.45946651876989
53136,0023F00085000000,130 E JEFFERSON ST,2023,2021-12-08,CHAPTER 265 BASE,3,175000,Central Northside,6,25,1,Northern,Northern,1,1-21,-80.00956148862068,40.45948219121915
53137,0023F00086000000,134 E JEFFERSON ST,2022,2021-12-08,CHAPTER 265 BASE,3,175000,Central Northside,6,25,1,Northern,Northern,1,1-21,-80.00967586086138,40.459415021815374
53138,0002E00155000000,429 FORBES AVE,2023,2021-12-08,CHAPTER 265 BASE,3,175000,Central Business District,6,2,1,Central,Northern,2,1-4,-79.99785724601988,40.43914996319616
53139,0002H00108000000,1400 COLWELL ST,,2024-01-08,CHAPTER 267 ENHANCED,10,250000,Central Business District,6,3,1,Central,Riverview,2,2-4,-79.98572355369086,40.439166751264366
53140,0057C00171000000,5506 SUNNYSIDE ST,,2024-01-18,CHAPTER 265 ENHANCED,10,250000,Hazelwood,5,15,3,Eastern,Frick,4,2-13,-79.93978442980139,40.40212543122491
53141,0011K00283000000,2017 FORBES AVE,,2022-02-10,CHAPTER 265 ENHANCED,10,250000,Bluff,6,1,3,Central,Schenley,2,2-1,-79.97696107283782,40.43749205520536
53142,0121E00202000000,6512 ADELPHIA ST,,2022-02-01,CHAPTER 265 BASE,3,175000,Stanton Heights,7,10,2,Central,Northeast,5,3-7,-79.93043976977323,40.48775513353306
53143,0009D00303000000,1720 WATERFRONT PL,2021,2020-06-23,ACT42 RESIDENTIAL,3,86750,Strip District,7,2,6,Central,Highland,2,2-3,-79.98722010716902,40.45119734850166
53144,0049C00273000000,4623 BANCROFT ST,2022,2020-06-10,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95496019223641,40.47102260454161
53145,0049L00145000000,349 MAIN ST,,2020-06-23,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95619152446302,40.46664375819558
53146,0012P00122000000,1932 S 18TH ST,,2020-06-29,ACT42 RESIDENTIAL,3,86750,South Side Slopes,3,17,3,Southern,Schenley,3,4-24,-79.97806431579866,40.42425787345551
53147,0011E00037000000,1709 5TH AVE,2024,2020-06-22,LOCAL ECONOMIC STIMULUS,10,250000,Crawford-Roberts,6,3,3,Central,Schenley,2,2-1,-79.98210316617566,40.43863246455402
53148,0080G00249000000,CARNEGIE ST,,2020-06-15,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95438706842292,40.478082350715
53149,0022F00290000000,1732 FULTON ST,2022,2020-06-24,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.025607579196,40.45779579156646
53150,0022F00296000000,1247 COLUMBUS AVE,2022,2020-06-24,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02511101564494,40.45790303660612
53151,0022G00230000000,1227 COLUMBUS AVE,2022,2020-06-24,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02453035044965,40.45800675819277
53152,0022K00056000000,1708 FULTON ST,2022,2020-06-24,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02550312583665,40.45745161281559
53153,0022K00058000000,1714 FULTON ST,2022,2020-06-24,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.0255315331958,40.457544508994566
53154,0045H00209000000,2529 N CHARLES ST,,2020-06-24,ACT42 ENHANCED RESIDENTIAL,10,250000,Perry South,6,26,1,Northern,Riverview,1,1-12,-80.01796165670919,40.46745586234816
53155,0082N00028000000,5329 STANTON AVE,,2010-06-11,ACT42 RESIDENTIAL,3,86750,Morningside,7,11,2,Central,Highland,5,3-7,-79.93091284236733,40.473484219631615
53156,0088M00014000000,1547 PARKVIEW BLVD,2018,2010-06-28,ACT42 RESIDENTIAL,3,86750,Squirrel Hill South,5,14,3,Eastern,Frick,4,2-20,-79.91728865641805,40.41859812359908
53157,0009K00083000000,1243 PENN AVE,,2012-03-27,COMMERCIAL LERTA,5,50000,Strip District,7,2,6,Central,Highland,2,2-3,-79.99150502823241,40.44661098462476
53158,0083K00277011A00,5811 RIPPEY ST UNIT A,2014,2012-03-13,ACT42 RESIDENTIAL,3,86750,East Liberty,9,11,2,Central,Highland,5,3-8,-79.92536455940333,40.46565585852132
53159,0083K00277013A00,5813 RIPPEY ST UNIT A,2013,2012-03-13,ACT42 RESIDENTIAL,3,86750,East Liberty,9,11,2,Central,Highland,5,3-8,-79.92528612990449,40.46562917618117
53160,0013C00311000000,2359 HOLT ST,2013,2012-03-18,ACT42 ENHANCED RESIDENTIAL,10,250000,South Side Slopes,3,16,4,Southern,Schenley,3,4-22,-79.97278249525574,40.422285457375374
53161,0009G00160000B00,131 15TH ST,2020,2020-01-09,RESIDENTIAL LERTA,10,150000,Strip District,7,2,6,Central,Highland,2,2-3,-79.98926548262202,40.44936586286968
53162,0049N00215000A00,3468 LIGONIER ST,,2020-01-15,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96453296433705,40.46332788801008
53163,0173B00302000000,7151 MARY PECK BOND PL,2022,2020-01-15,LOCAL ECONOMIC STIMULUS,10,250000,Lincoln-Lemington-Belmar,9,12,2,Eastern,Highland,5,3-18,-79.89276805146035,40.471943405283355
53164,0029N00316000000,2984 SIDNEY ST,2023,2020-01-08,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,3,Southern,Schenley,3,4-24,-79.96234319868515,40.42509794025358
53165,0009A00030000000,518 PRESSLEY ST,2020,2019-10-15,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-20,-79.99931292022995,40.45215737126736
53166,0036B00053000000,1341 KIRSOPP AVE,,2019-10-02,ACT42 RESIDENTIAL,3,86750,Banksville,2,20,5,Northern,Emerald,6,4-9,-80.04178141418564,40.41331876832663
53167,0009D00285000000,1910 WATERFRONT PL,2021,2019-10-11,ACT42 RESIDENTIAL,3,86750,Strip District,7,2,6,Central,Highland,2,2-3,-79.9858610583102,40.45211488677356
53168,0024S00072000000,2239 RAILROAD ST,,2019-10-30,COMMERCIAL LERTA,5,50000,Strip District,7,2,6,Central,Highland,2,2-25,-79.98385599725997,40.45443939822557
