_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
51707,0025C00243000000,3179 PENN AVE,2016,2015-07-27,LOCAL ECONOMIC STIMULUS,10,250000,Strip District,7,6,6,Central,Highland,2,3-2,-79.97032144595616,40.46087569339469
51708,0080P00156000000,4522 PLUMMER ST,2016,2015-07-14,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.96018511860262,40.473673630750326
51709,0003L00144000000,1028 SARAH ST,2018,2015-07-13,ACT42 RESIDENTIAL,3,86750,South Side Flats,3,17,4,Southern,Schenley,3,4-24,-79.98790869046725,40.42754435521896
51710,0003L00145000000,1026 SARAH ST,2018,2015-07-13,ACT42 RESIDENTIAL,3,86750,South Side Flats,3,17,4,Southern,Schenley,3,4-24,-79.98798911849168,40.427543861713744
51711,0006J00021000000,438 BRADLEY ST,2017,2015-07-14,ACT42 RESIDENTIAL,3,86750,Duquesne Heights,2,19,5,Southern,Emerald,3,4-1,-80.02912268157003,40.4370641032634
51712,0006J00023000000,432 BRADLEY ST,2017,2015-07-14,ACT42 RESIDENTIAL,3,86750,Duquesne Heights,2,19,5,Southern,Emerald,3,4-1,-80.02909214604601,40.43715304548413
51713,0006J00029000000,414 BRADLEY ST,2017,2015-07-14,ACT42 RESIDENTIAL,3,86750,Duquesne Heights,2,19,5,Southern,Emerald,3,4-1,-80.02901705917027,40.43742415504308
51714,0088M00054000000,1646 SHELBURNE LN,2017,2015-07-06,ACT42 RESIDENTIAL,3,86750,Squirrel Hill South,5,14,3,Eastern,Frick,4,2-20,-79.91796972156241,40.416764675723115
51715,0048S00221000000,3437 BUTLER ST,2014,2012-05-18,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96708991042632,40.46334697020128
51716,0052E00207000000,645 CLYDE ST,2013,2012-05-29,ACT42 ENHANCED RESIDENTIAL,10,250000,Shadyside,8,7,2,Eastern,Frick,4,2-9,-79.94580092354175,40.44869567332832
51717,0047M00252000000,1745 COWLEY ST,,2018-05-09,ACT42 RESIDENTIAL,3,86750,Troy Hill,1,24,1,Northern,Riverview,1,1-2,-79.98351346613555,40.46648022817586
51718,0070A00250000000,735 BEECHNUT DR,,2018-05-21,LOCAL ECONOMIC STIMULUS,10,250000,Fairywood,2,28,5,Northern,Emerald,6,1-16,-80.08197715669054,40.45150173804298
51719,0011J00170000000,1713 LOCUST ST,,2018-05-15,ACT42 ENHANCED RESIDENTIAL,10,250000,Bluff,6,1,3,Central,Schenley,2,2-1,-79.98218285582841,40.436813037947296
51720,0011J00171000000,1715 LOCUST ST,2019,2018-05-15,ACT42 ENHANCED RESIDENTIAL,10,250000,Bluff,6,1,3,Central,Schenley,2,2-1,-79.98212308675312,40.43681123468529
51721,0011K00029000000,2024 5TH AVE,2022,2018-05-08,ACT42 ENHANCED RESIDENTIAL,10,250000,Bluff,6,1,3,Central,Schenley,2,2-1,-79.97660776482044,40.43794825811585
51722,0049N00152000000,3465 LIGONIER ST,2019,2018-05-31,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96478943789475,40.46353262847712
51723,0049A00320000000,105 40TH ST,2020,2018-05-10,LOCAL ECONOMIC STIMULUS,10,250000,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.96491296944913,40.471593800908686
51724,0080D00291000000,5208 KEYSTONE ST,2019,2018-05-04,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.9524565689166,40.4795767406364
51725,0119S00009000000,5400 NATRONA WAY,2020,2018-05-29,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94995345292014,40.48205970599727
51726,0083F00289000000,604 N SAINT CLAIR ST,2014,2011-07-23,ACT42 RESIDENTIAL,3,86750,East Liberty,9,11,2,Central,Highland,5,3-8,-79.9252028762063,40.468264731734834
51727,0128N00027003D00,1219 CRESCENT PL UNIT 3D,2013,2011-07-20,ACT42 RESIDENTIAL,3,86750,Squirrel Hill South,5,14,3,Eastern,Frick,4,2-20,-79.91350842597846,40.42328230226585
51728,0012J00247SHU100,1822 HARCUM WAY UNIT SH1,2013,2011-07-28,ACT42 RESIDENTIAL,3,86750,South Side Flats,3,17,4,Southern,Schenley,3,4-24,-79.97988861309294,40.42639448170762
51729,0012J00247SHU400,1822 HARCUM WAY UNIT SH4,2015,2011-07-25,ACT42 RESIDENTIAL,3,86750,South Side Flats,3,17,4,Southern,Schenley,3,4-24,-79.97987233370594,40.426320802615
51730,0006P00148000000,460 AUGUSTA ST,2015,2011-07-08,ACT42 RESIDENTIAL,3,86750,Duquesne Heights,2,19,5,Southern,Emerald,3,4-1,-80.02480756603624,40.4346419027212
51731,0006P00150000000,462 AUGUSTA ST,2015,2011-07-08,ACT42 RESIDENTIAL,3,86750,Duquesne Heights,2,19,5,Southern,Emerald,3,4-1,-80.02483652273811,40.434592865047264
51732,0007B00270000000,1337 W NORTH AVE,2013,2011-07-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02543053945266,40.452017421996395
51733,0080H00005000000,442 52ND ST,,2023-02-09,CHAPTER 265 ENHANCED,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95320988853825,40.479314080617215
51734,0081A00143000000,523 54TH ST,,2010-07-30,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94897530746704,40.48144902301477
51735,0026J00090000000,1024 HERRON AVE,,2010-07-09,ACT42 RESIDENTIAL,3,86750,Polish Hill,7,6,6,Central,Highland,2,2-6,-79.96418231411006,40.457064495809945
51736,0125A00355000000,215 PAULSON AVE,,2010-07-09,ACT42 RESIDENTIAL,3,86750,Larimer,9,12,2,Eastern,Highland,5,3-10,-79.91497860756125,40.46188246297217
51737,0121E00219000000,6410 ADELPHIA ST,,2016-07-28,ACT42 RESIDENTIAL,3,86750,Stanton Heights,7,10,2,Central,Highland,5,3-7,-79.93144379387766,40.487265315690955
51738,0057B00014000000,124 MANSION ST,2017,2016-07-05,ACT42 ENHANCED RESIDENTIAL,10,250000,Hazelwood,5,15,3,Eastern,Frick,4,2-13,-79.94123062099845,40.403697733461904
51739,0002D00390000000,328 MILLER ST,,2018-02-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Crawford-Roberts,6,3,3,Central,Schenley,2,2-1,-79.98292570109203,40.44082575130491
51740,0049P00268000000,324 38TH ST,2021,2018-02-09,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96148366757724,40.46321540456627
51741,0119S00166000000,5329 BUTLER ST,2019,2018-02-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95165781297241,40.48287902421402
51742,0080K00075000000,4713 HATFIELD ST,,2018-02-22,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-5,-79.96003514493178,40.475959443008165
51743,0012E00067000000,1819 FOX WAY,2020,2018-02-18,ACT42 RESIDENTIAL,3,86750,South Side Flats,3,17,3,Southern,Schenley,3,4-24,-79.97963011439158,40.43020649449607
51744,0012E00068000000,1818 WHARTON ST,,2018-02-15,ACT42 RESIDENTIAL,3,86750,South Side Flats,3,17,3,Southern,Schenley,3,4-24,-79.97961245048307,40.430346355096056
51745,0014F00003000000,410 WALTER ST,,2019-04-18,ACT42 ENHANCED RESIDENTIAL,10,250000,Allentown,3,18,5,Southern,Emerald,3,4-21,-79.9948836643028,40.41882921664515
51746,0049R00350000000,3940 LIBERTY AVE,,2019-04-19,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.95775279558518,40.46250694965983
51747,0080H00119000000,5138 HOLMES ST,2020,2019-04-05,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.9521041764391,40.47833684156335
51748,0080H00317000000,5244 LOTUS WAY,2019,2019-04-16,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95078231226013,40.47956934009598
51749,0119S00220000000,134 55TH ST,,2019-04-26,COMMERCIAL LERTA,5,50000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95061640196496,40.48387781591589
51750,0002J00260000000,615 2ND AVE,,2019-04-23,LOCAL ECONOMIC STIMULUS,10,250000,Central Business District,6,1,6,Central,Riverview,2,1-4,-79.99578122305405,40.435721690593354
51751,0023E00141000000,521 W JEFFERSON ST,2021,2019-04-15,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01349219426044,40.458786618061566
51752,0023E00142000000,519 W JEFFERSON ST,2021,2019-04-15,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.0134247513515,40.45880063549541
51753,0023E00143000000,517 W JEFFERSON ST,2021,2019-04-15,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01335453238174,40.458813078896654
51754,0025M00148000000,3033 BRERETON ST,2017,2016-10-20,ACT42 RESIDENTIAL,3,86750,Polish Hill,7,6,6,Central,Highland,2,2-6,-79.96870204400717,40.45676156897254
51755,0049F00286000600,260 42ND ST UNIT 6,2016,2016-10-13,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95856107746562,40.46886896762356
51756,0025J00051000000,48 26TH ST,2018,2016-10-13,RESIDENTIAL LERTA,10,150000,Strip District,7,2,6,Central,Highland,2,2-25,-79.9807995852127,40.45648756884152
51757,0025J00051000000,48 26TH ST,2018,2016-10-13,LOCAL ECONOMIC STIMULUS,10,250000,Strip District,7,2,6,Central,Highland,2,2-25,-79.9807995852127,40.45648756884152
51758,0022G00226000000,1215 COLUMBUS AVE,2019,2016-10-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02421046534917,40.458066481647656
51759,0022G00227000000,1219 COLUMBUS AVE,2019,2016-10-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02432091778624,40.4580452017298
51760,0022G00228000000,1223 COLUMBUS AVE,2019,2016-10-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.0244222841817,40.458028037320574
51761,0022K00054000000,1704 FULTON ST,,2016-10-27,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.0254658422506,40.45732810993327
51762,0080C00164000000,5246 HARRISON ST,2021,2019-07-25,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95430094522825,40.481556809905136
51763,0080C00165000000,5244 HARRISON ST,2022,2019-07-25,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95433083663026,40.481528207304045
51764,0080D00234000000,5324 KEYSTONE ST,,2019-07-02,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95001308876094,40.48139280371776
51765,0006M00318000000,125 MERIDAN ST,,2022-05-12,CHAPTER 265 BASE,3,175000,Mount Washington,2,19,5,Southern,Western,3,4-1,-80.01788903190611,40.43670717903885
51766,0023F00062000000,17 LANE WAY,,2022-05-16,CHAPTER 265 BASE,3,175000,Central Northside,6,25,1,Northern,Northern,1,1-21,-80.00886275973285,40.459820383344216
51767,0009N00058000000,915 LIBERTY AVE,,2022-05-23,CHAPTER 265 ENHANCED,10,250000,Central Business District,6,2,1,Central,Northern,2,1-3,-79.99759888144318,40.44330161412496
51768,0002F00166000000,112 WASHINGTON PL,,2018-04-10,LOCAL ECONOMIC STIMULUS,10,250000,Central Business District,6,3,6,Central,Schenley,2,2-4,-79.99195349958042,40.43974437653488
51769,0002F00166000000,112 WASHINGTON PL,,2018-04-10,COMMERCIAL LERTA,5,50000,Central Business District,6,3,6,Central,Schenley,2,2-4,-79.99195349958042,40.43974437653488
51770,0025G00025000000,3000 SMALLMAN ST,,2018-04-18,LOCAL ECONOMIC STIMULUS,10,250000,Strip District,7,6,6,Central,Highland,2,3-2,-79.97308254922376,40.45952681335389
51771,0048M00020000000,3610 SMALLMAN ST,,2018-04-23,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96657458257721,40.46625373556588
51772,0080G00250000000,5112 CARNEGIE ST,2019,2018-04-03,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95435361469623,40.47813101289712
51773,0049R00240000000,3945 LIBERTY AVE,2019,2018-04-24,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.95778109123609,40.462995985598674
51774,0023M00096000000,515 KNOLL ST,,2018-04-24,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.00123552956883,40.45741304490391
51775,0023S00222000000,426 E OHIO ST,,2018-04-02,COMMERCIAL LERTA,5,50000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.00078338357699,40.45363918664398
51776,0023S00223000000,424 E OHIO ST,,2018-04-02,COMMERCIAL LERTA,5,50000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.00083911453545,40.453628168418746
51777,0023S00224000000,422 E OHIO ST,,2018-04-02,COMMERCIAL LERTA,5,50000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.00090124898854,40.45361668081073
51778,0024N00078000000,709 EAST ST,,2018-04-02,COMMERCIAL LERTA,5,50000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-79.99823425625183,40.45445415374814
51779,0024N00117000000,705 EAST ST,,2018-04-02,COMMERCIAL LERTA,5,50000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-79.99822644843488,40.45429047247908
51780,0007D00167000000,907 WESTERN AVE,,2018-04-02,COMMERCIAL LERTA,5,50000,Allegheny West,1,22,1,Northern,Riverview,1,1-7,-80.01671397275281,40.45167323241908
51781,0007D00172000000,917 WESTERN AVE,,2018-04-02,COMMERCIAL LERTA,5,50000,Allegheny West,1,22,1,Northern,Riverview,1,1-7,-80.01722574391731,40.451576172966256
51782,0006M00287000000,164 ONEIDA ST,,2018-04-09,ACT42 RESIDENTIAL,3,86750,Duquesne Heights,2,19,5,Southern,Emerald,3,4-1,-80.0202091739159,40.436591643095035
51783,0049P00188000A00,3821 CABINET WAY,2020,2019-11-17,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96036166761779,40.463551236586795
51784,0049B00086000000,174 43RD ST,,2019-11-19,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.9612759381581,40.47110405248717
51785,0049B00087000000,176 43RD ST,,2019-11-19,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.96122402615283,40.47106815697639
51786,0049B00398000000,172 43RD ST,,2019-11-19,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.96132733051041,40.4711397932356
51787,0049G00342000000,324 SERVICE WAY,,2019-11-09,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95622129239095,40.46954014497462
51788,0049J00118000000,3601 BUTLER ST,,2015-08-14,COMMERCIAL LERTA,5,50000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96547177547214,40.4656373368824
51789,0049J00118000000,3601 BUTLER ST,,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96547177547214,40.4656373368824
51790,0049J00118010100,3607 BUTLER ST UNIT 101,2018,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96534039243545,40.46564778451785
51791,0049J00118010200,3607 BUTLER ST UNIT 102,2018,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96537143401305,40.46560177385524
51792,0049J00118010300,3607 BUTLER ST UNIT 103,2018,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.9654034788493,40.46555425807168
51793,0049J00118020000,3607 BUTLER ST UNIT 200,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96560501595621,40.465635025112014
51794,0049J00118020100,3607 BUTLER ST UNIT 201,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96544382440342,40.46557051406892
51795,0049J00118020200,3607 BUTLER ST UNIT 202,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96548197361824,40.46558582498624
51796,0049J00118020300,3607 BUTLER ST UNIT 203,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96552410539049,40.46560268992412
51797,0049J00118020400,3607 BUTLER ST UNIT 204,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96556497882696,40.46561898670719
51798,0049J00118030000,3607 BUTLER ST UNIT 300,2020,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96557098077217,40.465681718923165
51799,0049J00118030100,3607 BUTLER ST UNIT 301,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96541143214486,40.46561787278057
51800,0049J00118030200,3607 BUTLER ST UNIT 302,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96544958785519,40.46563317959006
51801,0049J00118030300,3607 BUTLER ST UNIT 303,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.9654916277682,40.46565000758559
51802,0049J00118030400,3607 BUTLER ST UNIT 304,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96553193630403,40.465666083651925
51803,0049J00118040000,3607 BUTLER ST UNIT 400,2018,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96553768996502,40.46572737713208
51804,0049J00118040100,3607 BUTLER ST UNIT 401,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96537998627508,40.46566383794944
51805,0049J00118040200,3607 BUTLER ST UNIT 402,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96541808409644,40.46567922999536
51806,0049J00118040300,3607 BUTLER ST UNIT 403,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96545997149333,40.46569611315912
51807,0049J00118040400,3607 BUTLER ST UNIT 404,2019,2015-08-14,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96549967700281,40.46571205081047
51808,0022S00011000000,1305 ALLEGHENY AVE,2017,2015-08-04,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02024302284643,40.45448210432876
51809,0023S00256000000,406 FORELAND ST,,2015-08-21,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.00168356144889,40.4543085962613
51810,0024N00013000000,618 FORELAND ST,2018,2015-08-11,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-79.99874594120595,40.45486606446823
51811,0029C00056000000,3500 FRAZIER ST,2016,2015-08-11,ACT42 RESIDENTIAL,3,86750,South Oakland,3,4,3,Central,Schenley,4,2-11,-79.95680344280869,40.43138784883144
51812,0023K00374000000,1215 REDDOUR ST,2016,2015-08-11,ACT42 RESIDENTIAL,3,86750,Central Northside,1,22,1,Northern,Riverview,1,1-21,-80.00817877192898,40.45618944143372
51813,0139F00137000000,111 AIDAN CT,2017,2015-08-11,ACT42 RESIDENTIAL,3,86750,Brookline,4,32,4,Southern,Emerald,6,4-25,-80.01223207042482,40.381941323574445
51814,0024J00309000000,815 TRIPOLI ST,2014,2014-02-11,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-5,-79.99696096006339,40.45648349411168
51815,0024J00310000000,817 TRIPOLI ST,,2014-02-11,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-5,-79.99690375434065,40.45649383032188
51816,0049N00263000000,311 37TH ST,,2014-02-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96221407937477,40.464044590306045
51817,0049P00200000000,3908 MINTWOOD ST,2015,2014-02-12,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.95930917703329,40.46381374298674
51818,0006S00252000000,238 LABELLE ST,2015,2014-02-21,ACT42 RESIDENTIAL,3,86750,Mount Washington,2,19,5,Southern,Emerald,3,4-1,-80.0165122689281,40.433511015704994
51819,0001D00259C50100,301 5TH AVE UNIT 501,2011,2009-09-30,ACT42 ENHANCED RESIDENTIAL,10,250000,Central Business District,6,2,6,Central,Riverview,2,1-3,-79.9998845369901,40.44131120712888
51820,0024N00301000000,610 LOCKHART ST,2011,2009-09-09,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-20,-79.99848557642865,40.45288364853442
51821,0004M00174030800,308 BIGBEE ST,2010,2009-09-22,ACT42 ENHANCED RESIDENTIAL,10,250000,Mount Washington,3,18,4,Southern,Emerald,3,4-5,-80.00222535175281,40.427448771712406
51822,0139F00067000000,179 AIDAN CT,,2009-09-04,ACT42 RESIDENTIAL,3,86750,Brookline,4,32,4,Southern,Emerald,6,4-25,-80.01100707307091,40.38155995808282
51823,0001C01662014500,320 FORT DUQUESNE BLVD UNIT 14-E,2016,2015-10-12,ACT42 ENHANCED RESIDENTIAL,10,250000,Central Business District,6,2,6,Central,Riverview,2,1-3,-80.00716865200387,40.44258135267002
51824,0027B00115000000,917 ANAHEIM ST,2017,2015-10-22,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Hill,6,5,3,Central,Schenley,2,2-22,-79.95836782996899,40.45143482204869
51825,0025M00149000000,3031 BRERETON ST,2017,2015-10-19,ACT42 RESIDENTIAL,3,86750,Polish Hill,7,6,6,Central,Highland,2,2-6,-79.9687923929553,40.45675811589108
51826,0051M00015000000,5502 BAUM BLVD,2018,2015-10-13,RESIDENTIAL LERTA,10,150000,Friendship,7,8,2,Central,Highland,5,3-23,-79.9363522901188,40.45734102811033
51827,0080D00309000000,5267 HOLMES ST,,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.950928435272,40.48040835189036
51828,0080D00309010100,5267 HOLMES ST UNIT 101,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95117495811854,40.48016428395341
51829,0080D00309010200,5267 HOLMES ST UNIT 102,2019,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.9511268710352,40.48019178644608
51830,0080D00309010300,5267 HOLMES ST UNIT 103,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95108178248051,40.480217735725454
51831,0080D00309010400,5267 HOLMES ST UNIT 104,2019,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95103634087678,40.48024333729842
51832,0080D00309020100,5267 HOLMES ST UNIT 201,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95099001349834,40.48027005629736
51833,0080D00309020200,5267 HOLMES ST UNIT 202,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95102982727212,40.480310843741925
51834,0080D00309020300,5267 HOLMES ST UNIT 203,2019,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95107615039414,40.48028399948871
51835,0080D00309020400,5267 HOLMES ST UNIT 204,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95112170164155,40.48025828558316
51836,0080D00309020500,5267 HOLMES ST UNIT 205,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.9511672631519,40.4802319371606
51837,0080D00309020600,5267 HOLMES ST UNIT 206,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95121432233871,40.48020488554616
51838,0080D00309030100,5267 HOLMES ST UNIT 301,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95125767964117,40.48025042321453
51839,0080D00309030200,5267 HOLMES ST UNIT 302,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95120959237886,40.48027792584071
51840,0080D00309030300,5267 HOLMES ST UNIT 303,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95116450359812,40.480303875184326
51841,0080D00309030400,5267 HOLMES ST UNIT 304,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95111906193881,40.48032947663288
51842,0080D00309030500,5267 HOLMES ST UNIT 305,2018,2015-10-13,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95107273458284,40.48035619522734
